datetime,y,client,close,price_am,price_pm,Year,Month,Day,DayOfWeek,WeekOfYear,DayOfYear,Quarter,JpHoliday,PriceAmWeekMeanNextYear,PriceAmWeekMinNextYear,PriceAmWeekMaxNextYear,PriceAmWeekStdNextYear,PriceAmWeekSumNextYear,PriceAmWeekSkewNextYear,PriceAmWeekKurtNextYear,PricePmWeekMeanNextYear,PricePmWeekMinNextYear,PricePmWeekMaxNextYear,PricePmWeekStdNextYear,PricePmWeekSumNextYear,PricePmWeekSkewNextYear,PricePmWeekKurtNextYear,PriceAmMonthMeanNextYear,PriceAmMonthMinNextYear,PriceAmMonthMaxNextYear,PriceAmMonthStdNextYear,PriceAmMonthSumNextYear,PriceAmMonthSkewNextYear,PriceAmMonthKurtNextYear,PricePmMonthMeanNextYear,PricePmMonthMinNextYear,PricePmMonthMaxNextYear,PricePmMonthStdNextYear,PricePmMonthSumNextYear,PricePmMonthSkewNextYear,PricePmMonthKurtNextYear,PriceAmQuarterMeanNextYear,PriceAmQuarterMinNextYear,PriceAmQuarterMaxNextYear,PriceAmQuarterStdNextYear,PriceAmQuarterSumNextYear,PriceAmQuarterSkewNextYear,PriceAmQuarterKurtNextYear,PricePmQuarterMeanNextYear,PricePmQuarterMinNextYear,PricePmQuarterMaxNextYear,PricePmQuarterStdNextYear,PricePmQuarterSumNextYear,PricePmQuarterSkewNextYear,PricePmQuarterKurtNextYear
2011-07-01,16.0,0,0,-1,-1,2011,7,1,4,26,182,3,0,1.0,0.0,2.0,0.816496580927726,7.0,0.0,-1.25,0.5714285714285714,0.0,2.0,0.7867957924694432,4.0,0.8598938232981916,-0.636094674556213,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-02,25.0,0,0,2,1,2011,7,2,5,26,183,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-03,17.0,0,0,1,1,2011,7,3,6,26,184,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-04,11.0,0,0,0,0,2011,7,4,0,27,185,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-05,8.0,0,0,0,0,2011,7,5,1,27,186,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-06,11.0,0,0,0,0,2011,7,6,2,27,187,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-07,10.0,0,0,0,0,2011,7,7,3,27,188,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-08,16.0,0,0,0,0,2011,7,8,4,27,189,3,0,0.5714285714285714,0.0,1.0,0.5345224838248488,4.0,-0.2886751345948127,-1.9166666666666665,0.42857142857142855,0.0,1.0,0.5345224838248488,3.0,0.28867513459481287,-1.9166666666666665,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-09,19.0,0,0,1,1,2011,7,9,5,27,190,3,0,0.5714285714285714,0.0,2.0,0.9759000729485332,4.0,0.9486832980505139,-1.0999999999999994,0.2857142857142857,0.0,1.0,0.4879500364742666,2.0,0.9486832980505139,-1.0999999999999994,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
2011-07-10,20.0,0,0,1,1,2011,7,10,6,27,191,3,0,0.5714285714285714,0.0,2.0,0.9759000729485332,4.0,0.9486832980505139,-1.0999999999999994,0.2857142857142857,0.0,1.0,0.4879500364742666,2.0,0.9486832980505139,-1.0999999999999994,0.7096774193548387,0.0,3.0,0.8243602928775247,22.0,0.9384303091028585,0.1688932062169517,0.45161290322580644,0.0,2.0,0.5679618342470648,14.0,0.7459365477929969,-0.4902666666666651,0.6630434782608695,0.0,3.0,0.7599475677842354,61.0,0.9477459689797922,0.3559947769677536,0.40217391304347827,0.0,2.0,0.5753122918538646,37.0,1.0836640462807339,0.17622665851049701
