datetime,y,client,close,price_am,price_pm,Month,WeekOfYear,DayOfYear,Kyureki,busy,y_by_move,rain
2010-07-01,17.0,0,0,1,0,7,26,182,2.0,0,6.565401842649544,0.25
2010-07-02,18.0,0,0,0,0,7,26,183,3.0,0,6.565401842649544,0.0
2010-07-03,20.0,0,0,1,1,7,26,184,4.0,0,6.565401842649544,1.25
2010-07-04,20.0,0,0,1,1,7,26,185,5.0,0,6.565401842649544,6.5
2010-07-05,14.0,0,0,0,0,7,27,186,0.0,0,6.565401842649544,8.75
2010-07-06,14.0,0,0,0,0,7,27,187,1.0,0,6.565401842649544,0.375
2010-07-07,4.0,0,0,0,0,7,27,188,2.0,0,6.565401842649544,9.625
2010-07-08,10.0,0,0,0,0,7,27,189,3.0,0,6.565401842649544,0.0
2010-07-09,12.0,0,0,0,0,7,27,190,4.0,0,6.565401842649544,15.125
2010-07-10,21.0,0,0,1,1,7,27,191,5.0,0,6.565401842649544,0.0
2010-07-11,15.0,0,0,1,0,7,27,192,0.0,0,6.565401842649544,1.75
2010-07-12,11.0,0,0,0,0,7,28,193,2.0,0,6.565401842649544,0.75
2010-07-13,8.0,0,0,0,0,7,28,194,3.0,0,6.565401842649544,7.875
2010-07-14,13.0,0,0,0,0,7,28,195,4.0,0,6.565401842649544,1.125
2010-07-15,8.0,0,0,0,0,7,28,196,5.0,0,6.565401842649544,0.0
2010-07-16,16.0,0,0,0,0,7,28,197,0.0,0,6.565401842649544,0.0
2010-07-17,23.0,0,0,2,1,7,28,198,1.0,0,6.565401842649544,0.0
2010-07-18,25.0,0,0,1,1,7,28,199,2.0,0,6.565401842649544,0.0
2010-07-19,18.0,0,0,1,0,7,29,200,3.0,0,6.565401842649544,0.0
2010-07-20,21.0,0,0,0,0,7,29,201,4.0,0,6.565401842649544,0.0
2010-07-21,9.0,0,0,0,0,7,29,202,5.0,0,6.565401842649544,0.0
2010-07-22,8.0,0,0,0,0,7,29,203,0.0,0,6.565401842649544,1.25
2010-07-23,12.0,0,0,1,0,7,29,204,1.0,0,6.565401842649544,2.5
2010-07-24,23.0,0,0,2,1,7,29,205,2.0,0,6.565401842649544,0.25
2010-07-25,18.0,0,0,2,1,7,29,206,3.0,0,6.565401842649544,0.5
2010-07-26,18.0,0,0,1,0,7,30,207,4.0,0,6.565401842649544,0.75
2010-07-27,14.0,0,0,1,0,7,30,208,5.0,0,6.565401842649544,0.0
2010-07-28,18.0,0,0,1,1,7,30,209,0.0,0,6.565401842649544,0.0
2010-07-29,19.0,0,0,1,1,7,30,210,1.0,0,6.565401842649544,11.875
2010-07-30,15.0,0,0,1,1,7,30,211,2.0,0,6.565401842649544,7.5
2010-07-31,18.0,0,0,2,2,7,30,212,3.0,0,6.565401842649544,0.0
