item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
H1,2015-04-01,70.50817425750378,56.540085208094695,61.71847282804629,64.80474633254327,67.65363812398363,70.43520291350964,73.24749365899882,76.21345517166108,79.66237477906334,84.42673899966192
H1,2015-04-02,66.03006524279678,52.24968964531806,57.33883022111503,60.62152550047293,63.41405711439444,65.89618844225967,68.60081103446818,71.4388348206309,74.69509806263528,79.85029107526086
H1,2015-04-03,64.42367409638483,50.320546442988935,55.27328161510416,58.517664541124574,61.499262971187406,64.29547833375055,66.99330836229879,70.09198843451252,73.4188136441633,79.14596955449873
H1,2015-04-04,61.79408234421033,48.74285202218657,53.31139350507072,56.50370827529517,59.18613579433308,61.84680432144422,64.33708128895452,66.84101626191091,70.0785900310062,74.67933900290402
H1,2015-04-05,59.33579551935037,49.08768745260919,52.467247430335384,54.92666210473328,57.024348223123,59.32900249719461,61.39011028536535,63.538913347114445,66.22122936581165,69.95842817944484
H1,2015-04-06,56.64231682294296,47.21142820896321,50.50671218891691,52.84460913176409,54.76044212783776,56.5900554704039,58.5148326351441,60.372200150413335,62.63476969686769,66.50759359762827
H1,2015-04-07,53.766682936395796,43.172386557927084,47.05152513941722,49.702916124728375,51.87992509559693,53.827041937555464,55.78122264517562,57.77266757490647,60.53516900905491,64.5781881771692
H1,2015-04-08,49.14335051419359,37.992596544043884,42.24707055147279,45.07483956439694,47.220376234317605,49.21520319821459,51.053050362840935,53.27409753462318,56.210162941895476,60.00769510629154
H1,2015-04-09,49.56710129196242,37.68221066007729,41.74640622714644,44.68413008193073,47.063677131743106,49.39504318649367,51.90877203612034,54.29262087235544,57.23126669178512,61.91378939966238
H1,2015-04-10,51.31274418489869,41.32306897179306,44.6278542028543,47.22217321391874,49.37412128998934,51.19424824373658,53.10714052875214,55.01804646767674,57.91356205390598,61.36639091747454
H1,2015-04-11,56.80886330483712,46.37735052900372,50.10134203857718,52.849715752331605,55.05694289451277,57.21075882790841,58.88066896906771,60.72797942423715,63.31693264772669,67.13998516956822
H1,2015-04-12,53.513670271017986,43.25473304131361,46.89424364585899,49.34957033850651,51.46218126113218,53.49964744386955,55.499593217976546,57.46889979261027,59.98760577297752,64.15214269893403
